col_num,col_name,data_format,description,name
1,ID,I10,... K2 Input Catalog Identifier,id
2,HIP,I8,... Hipparcos Identifier,hip
3,TYC,A15,... Tycho2 Identifier,tyc
4,UCAC,A15,... UCAC4 Identifier,ucac
5,2MASS,A20,... 2MASS Identifier,2mass
6,SDSS,A20,... SDSS DR9 Identifier,sdss
7,Objtype,A10,"... Object Type [STAR,EXTENDED]",objtype
8,Kepflag,A5,"... Kepler Magnitude Flag [gri,BV,JHK,J]",kepflag
9,StpropFlag,A5,... Stellar Properties Flag [not used],stpropflag
10,RA,D10.6,... Right Ascension JD2000 (Deg),ra
11,DEC,D10.6,... Declination JD2000 (Deg),dec
12,pmRA,D10.3,... Proper motion in RA (mas/yr),pmra
13,e_pmRA,D10.3,... Uncertainty in Proper motion in RA (mas/yr),e_pmra
14,pmDEC,D10.3,... Proper motion in DEC (mas/yr),pmdec
15,e_pmDEC,D10.3,... Uncertainty in Proper motion in DEC (mas/yr),e_pmdec
16,plx,D10.3,... Hipparcos parallax (mas),plx
17,e_plx,D10.3,... Uncertainty in parallax (mas),e_plx
18,Bmag,D6.3,... Johnson B Magnitude (mag),bmag
19,e_Bmag,D6.3,... Uncertainty in Johnson B Magnitude (mag),e_bmag
20,Vmag,D6.3,... Johnson V Magnitude (mag),vmag
21,e_Vmag,D6.3,... Uncertainty in Johnson V Magnitude (mag),e_vmag
22,umag,D6.3,... Sloan u Magnitude (mag),umag
23,e_umag,D6.3,... Uncertainty in Sloan u Magnitude (mag),e_umag
24,gmag,D6.3,... Sloan g Magnitude (mag),gmag
25,e_gmag,D6.3,... Uncertainty in Sloan g Magnitude (mag),e_gmag
26,rmag,D6.3,... Sloan r Magnitude (mag),rmag
27,e_rmag,D6.3,... Uncertainty in Sloan r Magnitude (mag),e_rmag
28,imag,D6.3,... Sloan i Magnitude (mag),imag
29,e_imag,D6.3,... Uncertainty in Sloan i Magnitude (mag),e_imag
30,zmag,D6.3,... Sloan z Magnitude (mag),zmag
31,e_zmag,D6.3,... Uncertainty in Sloan z Magnitude (mag),e_zmag
32,Jmag,D6.3,... 2MASS J Magnitude (mag),jmag
33,e_Jmag,D6.3,... Uncertainty in 2MASS J Magnitude (mag),e_jmag
34,Hmag,D6.3,... 2MASS H Magnitude (mag),hmag
35,e_Hmag,D6.3,... Uncertainty in 2MASS H Magnitude (mag),e_hmag
36,Kmag,D6.3,... 2MASS K Magnitude (mag),kmag
37,e_Kmag,D6.3,... Uncertainty in 2MASS K Magnitude (mag),e_kmag
38,W1mag,D6.3,... WISE W1 Magnitude (mag),w1mag
39,e_W1mag,D6.3,... Uncertainty in WISE W1 Magnitude (mag),e_w1mag
40,W2mag,D6.3,... WISE W2 Magnitude (mag),w2mag
41,e_W2mag,D6.3,... Uncertainty in WISE W2 Magnitude (mag),e_w2mag
42,W3mag,D6.3,... WISE W3 Magnitude (mag),w3mag
43,e_W3mag,D6.3,... Uncertainty in WISE W3 Magnitude (mag),e_w3mag
44,W4mag,D6.3,... WISE W4 Magnitude (mag),w4mag
45,e_W4mag,D6.3,... Uncertainty in WISE W4 Magnitude (mag),e_w4mag
46,Kp,D6.3,... Kepler Magnitude (mag),kp
47,Teff,D6.0,... Effective Temperature (K),teff
48,e_Teff,D6.0,... Uncertainty in Effective Temperature (K),e_teff
49,logg,D6.3,... log Surface Gravity (cgs),logg
50,e_logg,D6.3,... Uncertainty in log Surface Gravity (cgs),e_logg
51,[Fe/H],D6.3,... Metallicity (dex),[fe/h]
52,e_[Fe/H],D6.3,... Uncertainty in Metallicity (dex),e_[fe/h]
53,Rad,D8.3,... Stellar Radius (solar units),rad
54,e_Rad,D8.3,... Uncertainty in Stellar Radius (solar units),e_rad
55,Mass,D8.3,... Stellar Mass (solar units),mass
56,e_Mass,D8.3,... Uncertainty in Stellar Mass (solar units),e_mass
57,rho,E10.3,... Stellar Density (solar units),rho
58,e_rho,E10.3,... Uncertainty in Stellar Density (solar units),e_rho
59,Lum,E10.3,... Stellar Luminosity (solar units),lum
60,e_Lum,E10.3,... Uncertainty in Stellar Luminosity (solar units),e_lum
61,d,D8.1,... Distance (pc),d
62,e_d,D8.1,... Uncertainty in Distance (solar units),e_d
63,E(B-V),D6.3,... Extinction (mag),e(b-v)
64,NOMAD,A20,... NOMAD1 Identifier [for sources with supplemented NOMAD1 proper motions],nomad
65,Mflg,A20,... 2MASS Flags [Qflg-Rflg-Bflg-Cflg-Xflg-Aflg],mflg
66,prox,D6.3,... 2MASS nearest neighbor distance (arcsec),prox
67,k2_avail_flag,bool,"1=target was observed, 0=target not observed",k2_avail_flag
